cc_a,cc_b,type,gap_log2,gap_hex,bits_a,bits_b,root_a,root_b
10,10,same,40,0x1b85c1141e2,90,90,0x22f0b53edd7f07eb0953771,0x22f0b53edd7f2370ca67953
10,10,same,41,0x2ff46d9d2ec,89,89,0x1ee039a9ad528a39ae3fc05,0x1ee039a9ad52ba2e1bdcef1
10,10,same,43,0xb5b40402008,89,89,0x194e08317a15cb2e5fa7091,0x194e08317a1680e263a9099
11,11,same,46,0x4a618454e23e,89,89,0x11851fa21d07278b912782d,0x11851fa21d0bcda3d675a6b
11,11,same,49,0x3272d36fa4f28,90,90,0x289d8e1a418b3c658acb521,0x289d8e1a41bdaf38fa70449
11,11,same,50,0x4bec7b46a5b0a,90,90,0x360acfb5fefceec86571153,0x360acfb5ff48db43ac16c5d
12,12,same,44,0x178564ba3e40,73,73,0x1486cb8f4411cacae3f,0x1486cb90bc68166ec7f
12,12,same,46,0x7e713bf60164,74,74,0x2afb8320b43429db9a9,0x2afb83289b47e93bb0d
12,12,same,46,0x7f2ad6971304,73,73,0x1169cd22834f95515b7,0x1169cd2a75fcfec28bb
13,13,same,50,0x7b32742a0e5be,72,72,0x83e20e6fed56062713,0x83e216231498a70cd1
13,13,same,52,0x1482dd013608e2,70,70,0x2b4775a9bdc9f29cc1,0x2b478a2c9acb28a5a3
13,13,same,53,0x231292e51f3792,65,65,0x1f8136849208c4d19,0x1f8367adc05ab84ab
14,14,same,54,0x6bed79991f0164,75,75,0x62a278ff41e70d1f725,0x62a27fbe19809f0f889
14,14,same,57,0x333138523c20d5a,64,64,0xf50fd4ec70aeb4b1,0xf842e8719470c20b
14,14,same,57,0x36f9660ca89322c,73,73,0x1029e71ea0c5336c6d3,0x102a1e1806d1dbff8ff
15,15,same,60,0x17b9d8efd443f08a,66,66,0x2c45205cf640715fb,0x2dc0bdebf384b0685
15,15,same,61,0x37ed8373b620770e,76,76,0xccc39dfbc6ec3ad4c51,0xccc71cd3fe279cdc35f
15,15,same,62,0x56abe6164bfd964e,69,69,0x19d967c94679c52599,0x1a3013af5cc5c2bbe7
16,16,same,65,0x251efd043bf3aad4a,72,72,0xe2b9f8a983549c7d1b,0xe50be879c713d72a65
16,16,same,65,0x2f847a26291b9061e,73,73,0x1f46b34893ccd0f4239,0x1f7637c2b9f5ec84857
16,16,same,66,0x60891cf51e4ce7226,73,73,0x13dd93c990ac9dddf27,0x143e1ce685caeac514d
10,11,cross,44,0x120a18231ec6,90,90,0x326bd358a6f48d989771745,0x326bd358a6f36cf7153f87f
10,11,cross,44,0x16f5c4f26bee,90,90,0x2865d8ebadceac5b694e061,0x2865d8ebadcd3cff1a27473
10,11,cross,45,0x28f280f10ca2,90,90,0x2520f3e18f0836a387cb169,0x2520f3e18f0ac5cb96dbe0b
