gap_log2,gap_hex,gap_decimal_approx,cc,bits,root1_hex,root2_hex
40,0x1b85c1141e2,1891330245090,10,90,0x22f0b53edd7f07eb0953771,0x22f0b53edd7f2370ca67953
41,0x2ff46d9d2ec,3295428596460,10,89,0x1ee039a9ad528a39ae3fc05,0x1ee039a9ad52ba2e1bdcef1
43,0xb5b40402008,12486547873800,10,89,0x194e08317a15cb2e5fa7091,0x194e08317a1680e263a9099
43,0xbc3f005735e,12936173417310,10,91,0x7630cb08192fa6353489309,0x7630cb081930627434e0667
44,0x116746e713dc,19135268852700,10,91,0x5a05fca77245a70f715313f,0x5a05fca77246bd83dfc451b
44,0x178564ba3e40,25861688016448,12,73,0x1486cb8f4411cacae3f,0x1486cb90bc68166ec7f
44,0x192b4a739694,27673723377300,10,89,0x127135157a1d0f857940825,0x127135157a1ea23a2079eb9
44,0x1b70b65b128c,30170909708940,10,88,0xf75dc4ab981d787e26ca05,0xf75dc4ab9838e93481dc91
44,0x1c6217fe3ab8,31207634909880,10,90,0x2a130d35270ee366009e54d,0x2a130d352710a9878082005
45,0x227cb8748608,37919065933320,10,89,0x11f5b7186d2418ff6222351,0x11f5b7186d2640cae96a959
45,0x29a9b815f55a,45808914658650,10,91,0x52e086eaa2a3f1c6bb23d6f,0x52e086eaa2a68c623c832c9
45,0x29bf28c6b356,45900999603030,10,90,0x3bae9279ab9d52e2344241f,0x3bae9279ab9feed4c0ad775
45,0x317b2d6efb8e,54405112986510,10,88,0x87642c5bfaebd48a74049f,0x87642c5bfb1d4fb7e3002d
45,0x31ba8b948f28,54677275447080,10,89,0x115fb34a724d04b81bbb6af,0x115fb34a72502060d5045d7
45,0x32a11b3366fe,55667527476990,10,90,0x235ec60318be520e3586b5b,0x235ec60318c17c1fe8bd259
45,0x360287be4140,59384495227200,10,90,0x2f1bf554a7dc1c0c7fe66c9,0x2f1bf554a7df7c34fbca809
45,0x3b438c99b0aa,65161307730090,10,90,0x325bfc703fcb267b71e4bb9,0x325bfc703fcedab43b7fc63
45,0x3d4cd29af7f2,67400160180210,10,91,0x42d5e5d7578d4534a3feded,0x42d5e5d757911a01cdae5df
45,0x3de1f876e37e,68040745476990,10,88,0xa279a4bb18ac4026e0f535,0xa279a4bb18ea221f57d8b3
45,0x3efca1173d38,69254755335480,10,88,0x84efab9e74abcf06f2a9ad,0x84efab9e74eacba809e6e5
46,0x48c5742b3040,80012894744640,10,90,0x304fa6eb941b85e38fe6c6f,0x304fa6eb9420123ad299caf
46,0x4a618454e23e,81782692438590,11,89,0x11851fa21d07278b912782d,0x11851fa21d0bcda3d675a6b
46,0x4ac7494adf5c,82219788590940,10,90,0x3e2e2b54b0043fdbe05c5b5,0x3e2e2b54b008ec50750a511
46,0x572b7bd1b502,95844272551170,10,88,0xa53f682cb162861452ae7b,0xa53f682cb1b9b19024637d
46,0x6fe8ee92625a,123046225666650,10,89,0x1965fec914488834f759647,0x1965fec9144f86c3e07f8a1
46,0x76bbc7229cec,130548871896300,10,87,0x46279e6ef9977d4266a185,0x46279e6efa0e3909893e71
46,0x7e713bf60164,139024802382180,12,74,0x2afb8320b43429db9a9,0x2afb83289b47e93bb0d
46,0x7f2ad6971304,139821965579012,12,73,0x1169cd22834f95515b7,0x1169cd2a75fcfec28bb
47,0x8077fd1aab44,141252835846980,10,90,0x2589da1bf9789a5194e5351,0x2589da1bf980a1d1668fe95
47,0x8716e59a6b94,148532411132820,10,90,0x33ee70ddb8e8599c7b2529f,0x33ee70ddb8f0cb0ad4cbe33
