cc,bits,gap_log2,count,pct
10,67,55,1,25.00
10,67,57,1,25.00
10,67,62,1,25.00
10,67,65,1,25.00
10,68,51,1,5.88
10,68,53,2,11.76
10,68,55,5,29.41
10,68,56,3,17.65
10,68,57,2,11.76
10,68,58,1,5.88
10,68,64,2,11.76
10,68,66,1,5.88
10,69,48,1,1.18
10,69,50,4,4.71
10,69,51,1,1.18
10,69,52,5,5.88
10,69,53,6,7.06
10,69,54,13,15.29
10,69,55,16,18.82
10,69,56,14,16.47
10,69,57,12,14.12
10,69,58,5,5.88
10,69,59,1,1.18
10,69,60,1,1.18
10,69,63,3,3.53
10,69,64,2,2.35
10,69,67,1,1.18
10,74,53,1,8.33
10,74,55,4,33.33
10,74,56,2,16.67
10,74,57,3,25.00
10,74,58,1,8.33
10,74,71,1,8.33
10,79,77,1,100.00
10,81,60,1,6.25
10,81,64,1,6.25
10,81,67,1,6.25
10,81,68,1,6.25
10,81,69,1,6.25
10,81,74,4,25.00
10,81,75,5,31.25
10,81,76,2,12.50
10,82,58,1,1.35
10,82,62,1,1.35
10,82,63,3,4.05
10,82,64,2,2.70
10,82,65,2,2.70
10,82,66,5,6.76
10,82,68,3,4.05
10,82,70,1,1.35
10,82,71,1,1.35
10,82,72,9,12.16
10,82,73,17,22.97
10,82,74,14,18.92
10,82,75,9,12.16
10,82,76,4,5.41
10,82,78,2,2.70
10,83,60,1,0.38
10,83,61,3,1.15
10,83,62,4,1.54
10,83,63,5,1.92
10,83,64,15,5.77
10,83,65,17,6.54
10,83,66,20,7.69
10,83,67,12,4.62
10,83,68,5,1.92
10,83,69,3,1.15
10,83,70,10,3.85
10,83,71,18,6.92
10,83,72,29,11.15
10,83,73,43,16.54
10,83,74,38,14.62
10,83,75,25,9.62
10,83,76,9,3.46
10,83,77,3,1.15
10,84,58,1,0.10
10,84,59,3,0.31
10,84,60,5,0.51
10,84,61,11,1.12
10,84,62,23,2.35
10,84,63,45,4.60
10,84,64,58,5.92
10,84,65,71,7.25
10,84,66,94,9.60
10,84,67,36,3.68
10,84,68,21,2.15
10,84,69,30,3.06
10,84,70,67,6.84
10,84,71,98,10.01
10,84,72,129,13.18
10,84,73,140,14.30
10,84,74,87,8.89
10,84,75,41,4.19
10,84,76,17,1.74
10,84,77,2,0.20
10,85,49,1,0.02
10,85,51,1,0.02
10,85,53,1,0.02
10,85,55,4,0.10
10,85,56,4,0.10
10,85,57,7,0.17
10,85,58,7,0.17
10,85,59,30,0.72
10,85,60,40,0.96
10,85,61,82,1.98
10,85,62,164,3.96
10,85,63,288,6.95
10,85,64,367,8.85
10,85,65,360,8.68
10,85,66,150,3.62
10,85,67,83,2.00
10,85,68,130,3.14
10,85,69,253,6.10
10,85,70,407,9.82
10,85,71,570,13.75
10,85,72,576,13.89
10,85,73,379,9.14
10,85,74,191,4.61
10,85,75,49,1.18
10,85,76,2,0.05
10,86,47,1,0.01
10,86,49,1,0.01
10,86,50,2,0.01
10,86,51,4,0.02
10,86,52,2,0.01
10,86,53,2,0.01
10,86,54,9,0.05
10,86,55,14,0.08
10,86,56,34,0.20
10,86,57,54,0.32
10,86,58,96,0.57
10,86,59,226,1.35
10,86,60,393,2.35
10,86,61,653,3.90
10,86,62,1167,6.97
10,86,63,1555,9.28
10,86,64,1406,8.39
10,86,65,684,4.08
10,86,66,357,2.13
10,86,67,517,3.09
10,86,68,945,5.64
10,86,69,1571,9.38
10,86,70,2276,13.59
10,86,71,2224,13.28
10,86,72,1572,9.38
10,86,73,791,4.72
10,86,74,193,1.15
10,86,75,2,0.01
10,87,46,1,0.00
10,87,49,1,0.00
10,87,50,3,0.01
10,87,51,10,0.02
10,87,52,16,0.04
10,87,53,20,0.05
10,87,54,57,0.13
10,87,55,140,0.32
10,87,56,208,0.47
10,87,57,435,0.98
10,87,58,790,1.78
10,87,59,1502,3.38
10,87,60,2671,6.02
10,87,61,4310,9.71
10,87,62,5740,12.93
10,87,63,5322,11.99
10,87,64,2503,5.64
10,87,65,523,1.18
10,87,66,415,0.93
10,87,67,826,1.86
10,87,68,1465,3.30
10,87,69,2526,5.69
10,87,70,3999,9.01
10,87,71,5074,11.43
10,87,72,4099,9.23
10,87,73,1590,3.58
10,87,74,142,0.32
10,87,75,1,0.00
10,88,0,1,0.00
10,88,44,1,0.00
10,88,45,3,0.00
10,88,46,1,0.00
10,88,47,6,0.00
10,88,48,3,0.00
10,88,49,25,0.02
10,88,50,45,0.03
10,88,51,65,0.05
10,88,52,115,0.08
10,88,53,206,0.15
10,88,54,379,0.27
10,88,55,806,0.57
10,88,56,1577,1.11
10,88,57,3040,2.15
10,88,58,5738,4.06
10,88,59,10510,7.43
10,88,60,17196,12.16
10,88,61,22556,15.94
10,88,62,20899,14.77
10,88,63,9710,6.86
10,88,64,1500,1.06
10,88,65,591,0.42
10,88,66,1067,0.75
10,88,67,1967,1.39
10,88,68,3773,2.67
10,88,69,6652,4.70
10,88,70,10054,7.11
10,88,71,11939,8.44
10,88,72,8438,5.96
10,88,73,2460,1.74
10,88,74,148,0.10
10,89,41,1,0.00
10,89,43,1,0.00
10,89,44,1,0.00
10,89,45,2,0.00
10,89,46,1,0.00
10,89,47,2,0.00
10,89,48,4,0.00
10,89,49,20,0.01
10,89,50,42,0.03
10,89,51,46,0.03
10,89,52,67,0.05
10,89,53,57,0.04
10,89,54,67,0.05
10,89,55,133,0.10
10,89,56,272,0.20
10,89,57,456,0.33
10,89,58,845,0.61
10,89,59,1465,1.05
10,89,60,2656,1.91
10,89,61,3701,2.66
10,89,62,3897,2.80
10,89,63,2545,1.83
10,89,64,1338,0.96
10,89,65,1793,1.29
10,89,66,3487,2.50
10,89,67,6742,4.84
10,89,68,12274,8.81
10,89,69,20355,14.61
10,89,70,29063,20.85
10,89,71,29231,20.97
10,89,72,15916,11.42
10,89,73,2815,2.02
10,89,74,70,0.05
10,90,40,1,0.00
10,90,44,1,0.00
10,90,45,4,0.00
10,90,46,2,0.00
