cc,roots,pairs,gap_log2,count,pct,cumulative_pct
10,749017,748981,0,1,0.00,0.00
10,749017,748981,40,1,0.00,0.00
10,749017,748981,41,1,0.00,0.00
10,749017,748981,43,2,0.00,0.00
10,749017,748981,44,4,0.00,0.00
10,749017,748981,45,11,0.00,0.00
10,749017,748981,46,5,0.00,0.00
10,749017,748981,47,31,0.00,0.01
10,749017,748981,48,55,0.01,0.01
10,749017,748981,49,125,0.02,0.03
10,749017,748981,50,205,0.03,0.06
10,749017,748981,51,363,0.05,0.11
10,749017,748981,52,573,0.08,0.18
10,749017,748981,53,696,0.09,0.28
10,749017,748981,54,991,0.13,0.41
10,749017,748981,55,1990,0.27,0.67
10,749017,748981,56,3730,0.50,1.17
10,749017,748981,57,7050,0.94,2.11
10,749017,748981,58,13230,1.77,3.88
10,749017,748981,59,23387,3.12,7.00
10,749017,748981,60,36915,4.93,11.93
10,749017,748981,61,46302,6.18,18.11
10,749017,748981,62,40900,5.46,23.57
10,749017,748981,63,22092,2.95,26.52
10,749017,748981,64,8804,1.18,27.70
10,749017,748981,65,7050,0.94,28.64
10,749017,748981,66,11729,1.57,30.21
10,749017,748981,67,21827,2.91,33.12
10,749017,748981,68,40628,5.42,38.55
10,749017,748981,69,69358,9.26,47.81
10,749017,748981,70,104814,13.99,61.80
10,749017,748981,71,120852,16.14,77.94
10,749017,748981,72,92227,12.31,90.25
10,749017,748981,73,45385,6.06,96.31
10,749017,748981,74,17446,2.33,98.64
10,749017,748981,75,3257,0.43,99.07
10,749017,748981,76,393,0.05,99.13
10,749017,748981,77,538,0.07,99.20
10,749017,748981,78,800,0.11,99.30
10,749017,748981,79,991,0.13,99.44
10,749017,748981,80,910,0.12,99.56
10,749017,748981,81,609,0.08,99.64
10,749017,748981,82,533,0.07,99.71
10,749017,748981,83,376,0.05,99.76
10,749017,748981,84,293,0.04,99.80
10,749017,748981,85,203,0.03,99.83
10,749017,748981,86,173,0.02,99.85
10,749017,748981,87,154,0.02,99.87
10,749017,748981,88,141,0.02,99.89
10,749017,748981,89,144,0.02,99.91
10,749017,748981,90,112,0.01,99.92
10,749017,748981,91,66,0.01,99.93
10,749017,748981,92,52,0.01,99.94
10,749017,748981,93,54,0.01,99.95
10,749017,748981,94,64,0.01,99.95
10,749017,748981,95,55,0.01,99.96
10,749017,748981,96,36,0.00,99.97
10,749017,748981,97,48,0.01,99.97
10,749017,748981,98,47,0.01,99.98
10,749017,748981,99,29,0.00,99.98
10,749017,748981,100,27,0.00,99.99
10,749017,748981,101,24,0.00,99.99
10,749017,748981,102,17,0.00,99.99
10,749017,748981,103,18,0.00,100.00
10,749017,748981,104,1,0.00,100.00
10,749017,748981,138,1,0.00,100.00
10,749017,748981,140,4,0.00,100.00
10,749017,748981,141,1,0.00,100.00
10,749017,748981,142,4,0.00,100.00
10,749017,748981,143,4,0.00,100.00
10,749017,748981,144,7,0.00,100.00
10,749017,748981,145,8,0.00,100.00
10,749017,748981,146,5,0.00,100.00
10,749017,748981,147,2,0.00,100.00
11,132576,132546,46,1,0.00,0.00
11,132576,132546,49,1,0.00,0.00
11,132576,132546,50,3,0.00,0.00
11,132576,132546,51,13,0.01,0.01
11,132576,132546,52,23,0.02,0.03
11,132576,132546,53,14,0.01,0.04
11,132576,132546,54,38,0.03,0.07
11,132576,132546,55,63,0.05,0.12
11,132576,132546,56,116,0.09,0.21
11,132576,132546,57,253,0.19,0.40
11,132576,132546,58,473,0.36,0.75
11,132576,132546,59,867,0.65,1.41
11,132576,132546,60,1663,1.25,2.66
11,132576,132546,61,3239,2.44,5.11
11,132576,132546,62,5243,3.96,9.06
11,132576,132546,63,7538,5.69,14.75
11,132576,132546,64,8137,6.14,20.89
11,132576,132546,65,5697,4.30,25.19
11,132576,132546,66,2375,1.79,26.98
11,132576,132546,67,1218,0.92,27.90
11,132576,132546,68,1581,1.19,29.09
11,132576,132546,69,2856,2.15,31.24
11,132576,132546,70,5469,4.13,35.37
11,132576,132546,71,9705,7.32,42.69
11,132576,132546,72,15750,11.88,54.57
11,132576,132546,73,20808,15.70,70.27
11,132576,132546,74,19700,14.86,85.14
11,132576,132546,75,11833,8.93,94.06
11,132576,132546,76,5184,3.91,97.97
11,132576,132546,77,1546,1.17,99.14
11,132576,132546,78,145,0.11,99.25
11,132576,132546,79,53,0.04,99.29
11,132576,132546,80,92,0.07,99.36
11,132576,132546,81,144,0.11,99.47
11,132576,132546,82,150,0.11,99.58
11,132576,132546,83,119,0.09,99.67
11,132576,132546,84,92,0.07,99.74
11,132576,132546,85,72,0.05,99.79
11,132576,132546,86,53,0.04,99.83
11,132576,132546,87,31,0.02,99.86
11,132576,132546,88,20,0.02,99.87
11,132576,132546,89,24,0.02,99.89
