cc,bits,count,pairs,min_gap_log2,median_gap_log2,mean_gap_log2,min_gap_hex,median_gap_hex,mean_gap_hex,max_gap_hex
10,67,5,4,55,61,63,0xc78d5cecabcdf6,0x2620ff0906d29c1d,0xd9a15d9318b3cccd,0x3197beadd687e2d04
10,68,18,17,51,56,62,0xac6e27ce5380c,0x12b1f93f6bbc27e,0x70b2bff573178524,0x51dd14d09b867f22a
10,69,86,85,48,55,61,0x1c0b1cce672fc,0xeea97881c119ce,0x2d27a995c513c29a,0xa32d7337369df3422
10,74,13,12,53,56,68,0x2d2bafc36db73c,0x1be2d29b5d0ac4d,0x1555c173b808eed276,0xfff29eb3f3d52f1480
10,79,2,1,77,77,77,0x22a375897c5b045066c6,0x22a375897c5b045066c6,0x22a375897c5b045066c6,0x22a375897c5b045066c6
10,81,17,16,60,74,74,0x103b5150126c57a6,0x74f18aca98fbf84ca60,0x7c74784cd5f42f63c82,0x15aaf1b01793ac696400
10,82,75,74,58,73,74,0x4314601f3c44936,0x2f98fb8479208f973b7,0x6df978cd230acdcd4c3,0x58f64b000d98702335f6
10,83,261,260,60,72,73,0x17788bba9921c9f0,0x18a240767ccea1ad5df,0x3eee266a8df9e8d6fe3,0x341f8df7f3b79bb8fa68
10,84,980,979,58,71,73,0x540a44e63c60d54,0x976ed5ecbdfb975da6,0x2166caef349a4011827,0x25bc5e7f842e75e60b26
10,85,4147,4146,49,70,71,0x2f3304fe33490,0x4de764dd42bd64091b,0xfca31bbf65a2c0107e,0x138afdaf616dad0776d8
10,86,16752,16751,47,69,70,0xc4d9a08aae5a,0x2469f587d6d35d37c4,0x7d2f2d7efd2676a7b2,0xa3a89e6eb34113594aa
10,87,44390,44389,46,64,70,0x76bbc7229cec,0x131b396825af155aa,0x5e7a5b4f4c7d08b963,0x801ba25e50ac52be6d6
10,88,141472,141471,0,62,69,0x0,0x5292c106d283a30e,0x3b4b23ec325f93eda3,0x70f897e309553c7478c
10,89,139366,139365,41,70,70,0x2ff46d9d2ec,0x4db5bb2b68e776d876,0x7861b384447a500486,0x68d609b756c6a2d83be
10,90,273384,273383,40,70,70,0x1b85c1141e2,0x4543059c3a344af3ce,0x7abce1645a8da0cf0a,0x74a3c6b6d9a3e56b3d4
10,91,120880,120879,43,72,73,0xbc3f005735e,0x18100686078164af0ea,0x22b2aaf0e3e1a43499c,0x18881558b4baa7d4911a
10,92,3133,3132,49,78,79,0x3b04cee458906,0x77a9bb7460e89ec55920,0xa7346bf26dc91aa3af46,0x56cf3b7b8280ee7d2ce2e
10,93,1282,1281,70,81,81,0x70bc1459e439f4a78c,0x22ea8c542dccf3c6b8a40,0x331a39ad8c2701b0001eb,0x12334f67744ade29396a30
10,94,918,917,49,82,83,0x249d4e37ee9fc,0x5e4bbb44fdbfb2ca3b562,0x8eafb39968bdd8c1fc2df,0x38c50b261445cb222c08dc
10,95,422,421,77,84,85,0x204e7690f63a4cb0974c,0x19eea1bf9edac3ae0cc290,0x26cab6002d14e50e42d751,0x1144ac68904a218a0602ef8
10,96,240,239,76,86,87,0x1b33c4ef1498030c0dac,0x564981bf1f081fbf08ee9a,0x87e0f29756ab817217d5c0,0x397055bbd6ae6a90701dbc2
10,97,206,205,80,87,88,0x1161753c954bc1530a234,0xc0491d9536b18f398fc3c6,0x13b90b004d6b8032d702b52,0x6e36ef7a17ba1083fc20fc8
10,98,197,196,77,89,89,0x3ea2f98dde80fa4c8304,0x204e3e33811a652dccc455b,0x28eccb995645e8c28d339dc,0x9eb55a000f8fb79837e6116
10,99,180,179,81,89,90,0x2431ae1c7db2d9db0057c,0x3dea549f7b9aa2e6b54966c,0x5b4e3aa24220381f2986fe1,0x21d30f7e37ff3821e5b4c8b6
10,100,54,53,84,92,93,0x1f5266bc5f293be37dace4,0x11766067e809e09b5a846300,0x2617a8c27e27183a1278345e,0x10813346d520786061035157a
10,101,71,70,87,93,93,0xaa78da19020b54dea26474,0x2394d32ff66259f08d8ee509,0x383cda3ddf254c589983d6f6,0x12694ab8b161b2a872e4b11ae
10,102,81,80,89,94,94,0x32e0cbdee3a1bf68ab6a948,0x51e3f48ff210c9b3a0e574e8,0x6088dc5560f8c45a7fbca0c5,0x1a70fd3fa8228a0808a5ad2e6
10,103,51,50,83,95,96,0xfc079a424b4e78663f79c,0x9af9fc673b3151210b51903b,0x1323c1b63bace6ef85edd3996,0x6fffda19a829458fb31d6829c
10,104,41,40,52,97,97,0x1ae6c5df969fe6,0x22882852bb34463f32ce6f3f1,0x2d9b1a3e763bb0ca73cd76012,0x9cfdba6a4dd4ba9eac918e124
10,105,52,51,92,97,98,0x16645bce3319fb183b1a92f4,0x2ebab38c7bc10ef87440d04ea,0x4c872c2bf712c4fa90f64c932,0x1ead99123ad061fc6a5546940c
