cc,bits,count,imm_3,imm_3_pct,safe_3,safe_3_pct,imm_5,imm_5_pct,safe_5,safe_5_pct,imm_7,imm_7_pct,safe_7,safe_7_pct,imm_11,imm_11_pct,safe_11,safe_11_pct,imm_13,imm_13_pct,safe_13,safe_13_pct,imm_17,imm_17_pct,safe_17,safe_17_pct,imm_19,imm_19_pct,safe_19,safe_19_pct,imm_23,imm_23_pct,safe_23,safe_23_pct,imm_29,imm_29_pct,safe_29,safe_29_pct,imm_31,imm_31_pct,safe_31,safe_31_pct,safe_all,safe_all_pct
1,25,11,2,18.18,11,100.00,11,100.00,11,100.00,0,0.00,11,100.00,11,100.00,11,100.00,11,100.00,11,100.00,2,18.18,11,100.00,11,100.00,11,100.00,2,18.18,11,100.00,1,9.09,11,100.00,1,9.09,11,100.00,11,100.00
10,19,23,23,100.00,23,100.00,23,100.00,23,100.00,5,21.74,23,100.00,23,100.00,23,100.00,23,100.00,23,100.00,3,13.04,23,100.00,17,73.91,23,100.00,3,13.04,23,100.00,5,21.74,23,100.00,2,8.70,23,100.00,23,100.00
10,20,86,86,100.00,86,100.00,86,100.00,86,100.00,26,30.23,86,100.00,86,100.00,86,100.00,86,100.00,86,100.00,6,6.98,86,100.00,53,61.63,86,100.00,2,2.33,86,100.00,4,4.65,86,100.00,2,2.33,86,100.00,86,100.00
10,21,13,13,100.00,13,100.00,13,100.00,13,100.00,2,15.38,13,100.00,13,100.00,13,100.00,13,100.00,13,100.00,3,23.08,13,100.00,9,69.23,13,100.00,1,7.69,13,100.00,2,15.38,13,100.00,0,0.00,13,100.00,13,100.00
10,22,2,2,100.00,2,100.00,2,100.00,2,100.00,1,50.00,2,100.00,2,100.00,2,100.00,2,100.00,2,100.00,0,0.00,2,100.00,2,100.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,2,100.00
10,23,1333,1333,100.00,1333,100.00,1333,100.00,1333,100.00,274,20.56,1333,100.00,1333,100.00,1333,100.00,1333,100.00,1333,100.00,195,14.63,1333,100.00,1333,100.00,1333,100.00,106,7.95,1333,100.00,208,15.60,1333,100.00,46,3.45,1333,100.00,1333,100.00
10,24,206761,206761,100.00,206761,100.00,206761,100.00,206761,100.00,47708,23.07,206761,100.00,206761,100.00,206761,100.00,206761,100.00,206761,100.00,26106,12.63,206761,100.00,206761,100.00,206761,100.00,17222,8.33,206761,100.00,20892,10.10,206761,100.00,7981,3.86,206761,100.00,206761,100.00
10,25,536763,536763,100.00,536763,100.00,536763,100.00,536763,100.00,128323,23.91,536763,100.00,536763,100.00,536763,100.00,536763,100.00,536763,100.00,64801,12.07,536763,100.00,529633,98.67,536763,100.00,44749,8.34,536763,100.00,53072,9.89,536763,100.00,20794,3.87,536763,100.00,536763,100.00
10,26,2862,2862,100.00,2862,100.00,2862,100.00,2862,100.00,310,10.83,2862,100.00,2862,100.00,2862,100.00,2862,100.00,2862,100.00,683,23.86,2862,100.00,2862,100.00,2862,100.00,257,8.98,2862,100.00,301,10.52,2862,100.00,102,3.56,2862,100.00,2862,100.00
10,27,637,637,100.00,637,100.00,637,100.00,637,100.00,127,19.94,637,100.00,637,100.00,637,100.00,637,100.00,637,100.00,90,14.13,637,100.00,637,100.00,637,100.00,55,8.63,637,100.00,71,11.15,637,100.00,30,4.71,637,100.00,637,100.00
