cc,bits,prime,position,count,pct_of_bucket
1,25,3,1,9,81.82
1,25,29,18,1,9.09
1,25,29,22,1,9.09
1,25,29,23,3,27.27
1,25,29,24,1,9.09
10,19,19,17,6,26.09
10,19,29,17,1,4.35
10,19,29,18,1,4.35
10,19,29,20,2,8.70
10,19,29,21,1,4.35
10,19,29,22,2,8.70
10,19,29,23,3,13.04
10,19,29,24,1,4.35
10,20,19,16,16,18.60
10,20,19,17,17,19.77
10,20,29,16,6,6.98
10,20,29,17,5,5.81
10,20,29,18,6,6.98
10,20,29,19,7,8.14
10,20,29,20,7,8.14
10,20,29,21,11,12.79
10,20,29,22,8,9.30
10,20,29,23,7,8.14
10,20,29,24,5,5.81
10,21,19,17,4,30.77
10,21,29,17,3,23.08
10,21,29,18,1,7.69
10,21,29,19,2,15.38
10,21,29,21,1,7.69
10,21,29,22,2,15.38
10,21,29,23,1,7.69
10,23,23,10,2,0.15
10,23,29,10,3,0.23
10,23,29,12,3,0.23
10,23,29,13,6,0.45
10,23,29,14,6,0.45
10,23,29,15,2,0.15
10,23,29,16,1,0.08
10,23,29,17,1,0.08
10,23,29,20,4,0.30
10,23,29,21,40,3.00
10,23,29,22,136,10.20
10,23,29,23,168,12.60
10,23,29,24,167,12.53
10,24,23,10,283,0.14
10,24,29,10,361,0.17
10,24,29,11,217,0.10
10,24,29,12,170,0.08
10,24,29,13,162,0.08
10,24,29,14,172,0.08
10,24,29,15,69,0.03
10,24,29,16,49,0.02
10,24,29,17,142,0.07
10,24,29,18,10021,4.85
10,24,29,19,15267,7.38
10,24,29,20,17762,8.59
10,24,29,21,19311,9.34
10,24,29,22,19869,9.61
10,24,29,23,20545,9.94
10,24,29,24,20501,9.92
10,25,19,17,7130,1.33
10,25,23,10,253,0.05
10,25,29,10,89,0.02
10,25,29,11,79,0.01
10,25,29,12,226,0.04
10,25,29,13,327,0.06
10,25,29,14,173,0.03
10,25,29,15,101,0.02
10,25,29,16,78,0.01
10,25,29,17,1133,0.21
10,25,29,18,15229,2.84
10,25,29,19,43708,8.14
10,25,29,20,51536,9.60
10,25,29,21,52599,9.80
10,25,29,22,52736,9.82
10,25,29,23,52491,9.78
10,25,29,24,52675,9.81
10,26,23,10,44,1.54
10,26,29,10,42,1.47
10,26,29,11,32,1.12
10,26,29,12,30,1.05
