# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_all.py (predicate: q in fp iff q|(p+1); palette [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# ALL unique immune fingerprints in CC10-99 band (1551489 roots scanned, 0 with empty raw fp)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5) — v16 requires D_V superset of D_sieve
# format: P1*P2*...*Pk  # freq=NNN bits=BB.B  (one D_V per line)
# total unique D_V: 1372
# D_V bit-range: min=12.07 max=47.37 span=35.31 bits
2*3*5*11*13*19  # freq=638147 bits=16.31
2*3*5*7*11*13*19  # freq=204521 bits=19.12
2*3*5*11*13*17*19  # freq=87462 bits=20.40
2*3*5*11*13*19*29  # freq=68237 bits=21.17
2*3*5*11*13*19*23  # freq=58108 bits=20.84
2*3*5*11*13*19*37  # freq=35409 bits=21.52
2*3*5*11*13*19*41  # freq=28304 bits=21.67
2*3*5*11*13*19*31  # freq=25486 bits=21.27
2*3*5*7*11*13*17*19  # freq=25318 bits=23.21
2*3*5*11*13*19*43  # freq=22658 bits=21.74
2*3*5*11*13*19*47  # freq=22609 bits=21.87
2*3*5*7*11*13*19*29  # freq=22419 bits=23.98
2*3*5*7*11*13*19*23  # freq=18958 bits=23.65
2*3*5*11*13*19*53  # freq=18399 bits=22.04
2*3*5*11*13*19*59  # freq=15995 bits=22.20
2*3*5*11*13*19*61  # freq=15100 bits=22.25
2*3*5*7*11*13*19*37  # freq=11361 bits=24.33
2*3*5*11*13*17*19*29  # freq=9501 bits=25.26
2*3*5*7*11*13*19*41  # freq=9284 bits=24.48
2*3*5*7*11*13*19*31  # freq=8241 bits=24.08
2*3*5*11*13*17*19*23  # freq=7986 bits=24.93
2*3*5*7*11*13*19*47  # freq=7372 bits=24.68
2*3*5*7*11*13*19*43  # freq=7332 bits=24.55
2*3*5*11*13  # freq=6942 bits=12.07
2*3*5*11*13*19*23*29  # freq=6380 bits=25.70
2*3*5*7*11*13*19*53  # freq=6053 bits=24.85
2*3*5*7*11*13*19*59  # freq=5119 bits=25.00
2*3*5*7*11*13*19*61  # freq=4846 bits=25.05
2*3*5*11*13*17*19*37  # freq=4752 bits=25.61
2*3*5*11*13*17*19*41  # freq=3998 bits=25.76
2*3*5*11*13*19*29*37  # freq=3811 bits=26.38
2*3*5*11*13*17*19*31  # freq=3514 bits=25.36
2*3*5*11*13*17*19*47  # freq=3232 bits=25.96
2*3*5*11*13*19*29*41  # freq=3196 bits=26.53
2*3*5*11*13*17*19*43  # freq=3150 bits=25.83
2*3*5*11*13*19*23*37  # freq=3115 bits=26.05
2*3*5*7*11*13*17*19*29  # freq=2740 bits=28.07
2*3*5*11*13*19*29*31  # freq=2731 bits=26.13
2*3*5*7*11*13  # freq=2583 bits=14.87
2*3*5*11*13*19*23*41  # freq=2572 bits=26.20
2*3*5*11*13*17*19*53  # freq=2502 bits=26.13
2*3*5*11*13*19*29*43  # freq=2451 bits=26.60
2*3*5*11*13*19*29*47  # freq=2407 bits=26.73
2*3*5*11*13*19*23*31  # freq=2313 bits=25.79
2*3*5*7*11*13*17*19*23  # freq=2303 bits=27.73
2*3*5*11*13*17*19*59  # freq=2183 bits=26.28
2*3*5*11*13*19*23*47  # freq=2100 bits=26.39
2*3*5*11*13*17*19*61  # freq=2083 bits=26.33
2*3*5*11*13*19*23*43  # freq=2057 bits=26.26
2*3*5*11*13*19*29*53  # freq=2033 bits=26.90
2*3*5*7*11*13*19*23*29  # freq=1927 bits=28.50
2*3*5*11*13*19*23*53  # freq=1722 bits=26.57
2*3*5*11*13*19*29*61  # freq=1699 bits=27.10
2*3*5*11*13*19*29*59  # freq=1690 bits=27.06
2*3*5*11*13*19*37*41  # freq=1564 bits=26.88
2*3*5*11*13*19*23*59  # freq=1512 bits=26.72
2*3*5*11*13*19*31*37  # freq=1447 bits=26.48
2*3*5*7*11*13*17*19*37  # freq=1395 bits=28.42
2*3*5*11*13*19*23*61  # freq=1336 bits=26.77
2*3*5*11*13*19*37*43  # freq=1285 bits=26.95
2*3*5*11*13*19*37*47  # freq=1236 bits=27.08
