# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_exp.py (predicate: count exponent of q in (p+1) for q in [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# variant D: freq >= 10 (drops singleton/rare-pair tail)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5)
# format: P1[^e]*P2[^e]*... (^e omitted when e=1)
# total scanned: 1551489 CC10-99 roots
# raw unique exponent shapes: 28514
# after freq >= 10 filter: 4248 pool entries
# coverage of CC10+ data: 1501565/1551489 = 96.78%
# D_V bit-range: min=12.07 max=36.84 span=24.77 bits
2*3*5*11*13*19  # freq=271525 bits=16.31
2*3^2*5*11*13*19  # freq=89509 bits=17.90
2*3*5*7*11*13*19  # freq=74063 bits=19.12
2*3*5^2*11*13*19  # freq=54311 bits=18.64
2*3*5*11*13*17*19  # freq=34834 bits=20.40
2*3^3*5*11*13*19  # freq=29859 bits=19.48
2*3*5*11*13*19*29  # freq=28030 bits=21.17
2*3^2*5*7*11*13*19  # freq=25123 bits=20.71
2*3*5*11^2*13*19  # freq=24514 bits=19.77
2*3*5*11*13*19*23  # freq=23591 bits=20.84
2*3*5*11*13^2*19  # freq=20654 bits=20.02
2*3^2*5^2*11*13*19  # freq=18074 bits=20.22
2*3*5^2*7*11*13*19  # freq=14814 bits=21.44
2*3*5*11*13*19*37  # freq=14746 bits=21.52
2*3*5*11*13*19^2  # freq=14320 bits=20.56
2*3*5*11*13*19*41  # freq=11668 bits=21.67
2*3^2*5*11*13*17*19  # freq=11623 bits=21.99
2*3*5^3*11*13*19  # freq=10842 bits=20.96
2*3*5*7^2*11*13*19  # freq=10724 bits=21.93
2*3*5*11*13*19*31  # freq=10491 bits=21.27
2*3^4*5*11*13*19  # freq=9895 bits=21.07
2*3*5*11*13*19*43  # freq=9427 bits=21.74
2*3^2*5*11*13*19*29  # freq=9345 bits=22.76
2*3*5*11*13*19*47  # freq=9326 bits=21.87
2*3*5*7*11*13*17*19  # freq=8619 bits=23.21
2*3^3*5*7*11*13*19  # freq=8336 bits=22.29
2*3^2*5*11^2*13*19  # freq=8225 bits=21.36
2*3*5*7*11*13*19*29  # freq=7875 bits=23.98
2*3^2*5*11*13*19*23  # freq=7865 bits=22.42
2*3*5*11*13*19*53  # freq=7731 bits=22.04
2*3*5^2*11*13*17*19  # freq=7039 bits=22.72
2*3^2*5*11*13^2*19  # freq=6847 bits=21.60
2*3*5*11*13*19*59  # freq=6727 bits=22.20
2*3*5*7*11^2*13*19  # freq=6610 bits=22.58
2*3*5*7*11*13*19*23  # freq=6517 bits=23.65
2*3*5*11*13*19*61  # freq=6313 bits=22.25
2*3^3*5^2*11*13*19  # freq=6126 bits=21.81
2*3*5*7*11*13^2*19  # freq=5652 bits=22.82
2*3*5^2*11*13*19*29  # freq=5587 bits=23.49
2*3^2*5^2*7*11*13*19  # freq=5088 bits=23.03
2*3*5^2*11^2*13*19  # freq=4957 bits=22.10
2*3^2*5*11*13*19*37  # freq=4786 bits=23.11
2*3*5^2*11*13*19*23  # freq=4750 bits=23.16
2*3^2*5*11*13*19^2  # freq=4698 bits=22.15
2*3*5^2*11*13^2*19  # freq=4148 bits=22.34
2*3*5*7*11*13*19*37  # freq=4025 bits=24.33
2*3^2*5*11*13*19*41  # freq=3911 bits=23.26
2*3*5*7*11*13*19^2  # freq=3829 bits=23.37
2*3^3*5*11*13*17*19  # freq=3754 bits=23.57
2*3*5*11*13*17*19*29  # freq=3673 bits=25.26
2*3^2*5*7^2*11*13*19  # freq=3585 bits=23.51
2*3^2*5^3*11*13*19  # freq=3499 bits=22.54
2*3^2*5*11*13*19*31  # freq=3462 bits=22.85
2*3^5*5*11*13*19  # freq=3462 bits=22.65
2*3*5*7*11*13*19*41  # freq=3362 bits=24.48
2*3*5*11^2*13*17*19  # freq=3237 bits=23.86
2*3^2*5*11*13*19*43  # freq=3207 bits=23.33
2*3*5*11*13*17*19*23  # freq=3143 bits=24.93
2*3^3*5*11*13*19*29  # freq=3123 bits=24.34
2*3*5*11*13  # freq=3119 bits=12.07
2*3^2*5*11*13*19*47  # freq=3093 bits=23.45
2*3*5^3*7*11*13*19  # freq=3035 bits=23.77
2*3*5^2*11*13*19*37  # freq=2941 bits=23.85
2*3^2*5*7*11*13*17*19  # freq=2940 bits=24.79
2*3*5^2*11*13*19^2  # freq=2923 bits=22.88
2*3*5*7*11*13*19*31  # freq=2899 bits=24.08
2*3^4*5*7*11*13*19  # freq=2718 bits=23.88
2*3^3*5*11^2*13*19  # freq=2688 bits=22.94
2*3^2*5*7*11*13*19*29  # freq=2677 bits=25.56
2*3*5*11*13^2*17*19  # freq=2649 bits=24.10
2*3*5*7*11*13*19*43  # freq=2621 bits=24.55
2*3^3*5*11*13*19*23  # freq=2606 bits=24.01
2*3*5*7*11*13*19*47  # freq=2587 bits=24.68
2*3*5*11^2*13*19*29  # freq=2559 bits=24.63
2*3^2*5*11*13*19*53  # freq=2525 bits=23.63
2*3*5*11*13*19*23*29  # freq=2472 bits=25.70
2*3*5^2*11*13*19*41  # freq=2369 bits=23.99
2*3^3*5*11*13^2*19  # freq=2306 bits=23.19
2*3^2*5^2*11*13*17*19  # freq=2303 bits=24.31
2*3*5*11^3*13*19  # freq=2245 bits=23.23
2*3^2*5*7*11*13*19*23  # freq=2236 bits=25.23
2*3*5^4*11*13*19  # freq=2219 bits=23.28
2*3^2*5*11*13*19*59  # freq=2213 bits=23.78
2*3^2*5*7*11^2*13*19  # freq=2206 bits=24.17
2*3*5*11*13^2*19*29  # freq=2165 bits=24.87
2*3*5^2*7^2*11*13*19  # freq=2161 bits=24.25
2*3*5^2*11*13*19*31  # freq=2149 bits=23.59
2*3^2*5*11*13*19*61  # freq=2148 bits=23.83
2*3*5*11^2*13*19*23  # freq=2119 bits=24.30
2*3*5*7*11*13*19*53  # freq=2111 bits=24.85
2*3*5*11*13*17^2*19  # freq=2032 bits=24.49
2*3^4*5^2*11*13*19  # freq=2008 bits=23.39
2*3*5^2*11*13*19*47  # freq=1937 bits=24.19
2*3*5*7*11*13*19*59  # freq=1908 bits=25.00
2*3*5*11*13*17*19*37  # freq=1877 bits=25.61
2*3*5*11^2*13^2*19  # freq=1851 bits=23.47
2*3^2*5*7*11*13^2*19  # freq=1833 bits=24.41
2*3*5*11*13^2*19*23  # freq=1831 bits=24.54
